tag,user,act,exp,par
windows,1,1,3.0,4
windows,4,5,3.4,1
windows,5,2,5.0,0
windows,786441,3,4.66666666667,1
windows,1048587,1,0.0,0
windows,1310733,1,0.0,0
windows,17,12,2.33333333333,1
windows,20,3,7.0,0
windows,1310746,1,1.0,0
windows,29,6,1.5,5
windows,30,8,5.0,2
windows,786437,1,1.0,0
windows,33,1,12.0,3
windows,786466,1,0.0,0
windows,35,4,5.5,0
windows,37,1,1.0,0
windows,39,1,52.0,1
windows,40,2,1.0,0
windows,41,1,0.0,0
windows,42,5,15.6,3
windows,1310763,1,0.0,0
windows,45,6,4.33333333333,1
windows,46,0,0,1
windows,524338,1,0.0,0
windows,52,4,3.0,0
windows,524343,1,1.0,0
windows,56,3,7.33333333333,1
windows,58,1,1.0,1
windows,60,3,1.66666666667,0
windows,61,1,2.0,1
windows,62,1,8.0,0
windows,63,4,1.75,0
windows,64,3,2.0,2
windows,1835074,1,0.0,0
windows,67,2,18.0,7
windows,262214,1,0.0,0
windows,71,9,3.77777777778,2
windows,72,2,3.5,0
windows,655372,2,4.0,2
windows,75,1,1.0,0
windows,1572940,1,1.0,0
windows,77,1,1.0,1
windows,13,15,4.33333333333,26
windows,524368,48,2.85416666667,51
windows,81,3,1.0,0
windows,82,8,3.25,1
windows,83,6,2.5,0
windows,85,2,1.5,0
windows,86,2,0.0,1
windows,524375,1,0.0,0
windows,88,0,0,1
windows,91,21,2.95238095238,7
windows,92,2,8.0,0
windows,96,1,2.0,0
windows,131088,1,1.0,0
windows,100,0,0,7
windows,101,1,1.0,0
windows,102,1,1.0,6
windows,103,0,0,1
windows,1835113,1,0.0,0
windows,106,3,0.666666666667,0
windows,107,1,0.0,0
windows,108,2,2.5,0
windows,112,1,0.0,1
windows,115,9,4.55555555556,8
windows,116,2,1.5,0
windows,117,1,3.0,0
windows,118,2,3.5,0
windows,120,1,12.0,0
windows,122,5,2.4,1
windows,123,15,2.13333333333,0
windows,786560,1,6.0,0
windows,131,1,2.0,0
windows,133,4,7.0,4
windows,136,1,4.0,0
windows,137,3,8.66666666667,0
windows,139,1,2.0,1
windows,524429,1,61.0,0
windows,142,2,1.5,0
windows,143,1,19.0,0
windows,146,1,13.0,0
windows,148,2,4.0,0
windows,149,1,40.0,3
windows,152,1,12.0,0
windows,1048729,1,0.0,0
windows,262298,1,1.0,2
windows,26,2,0.0,4
windows,159,1,0.0,0
windows,161,1,6.0,0
windows,162,1,0.0,0
windows,163,1,1.0,1
windows,169,2,3.5,0
windows,170,1,3.0,0
windows,173,1,3.0,0
windows,183,2,1.5,0
windows,184,2,0.5,0
windows,524473,1,1.0,0
windows,186,1,2.0,0
windows,524475,4,1.0,5
windows,188,2,2.0,0
windows,1835197,1,0.0,0
windows,191,1,1.0,0
windows,194,8,4.375,0
windows,197,1,1.0,1
windows,198,0,0,1
windows,199,2,2.5,2
windows,200,2,3.5,0
windows,202,2,2.5,0
windows,204,1,2.0,0
windows,34,2,6.5,0
windows,206,7,2.71428571429,2
windows,207,1,4.0,2
windows,209,1,1.0,0
windows,786644,0,0,1
windows,1310934,0,0,1
windows,262363,5,1.0,0
windows,786653,3,2.66666666667,36
windows,524511,1,4.0,0
windows,224,1,0.0,0
windows,225,4,5.0,2
windows,227,6,7.5,4
windows,229,2,0.5,0
windows,1310950,1,1.0,0
windows,232,0,0,1
windows,233,5,1.6,2
windows,234,22,6.90909090909,2
windows,235,3,2.0,5
windows,238,6,5.5,0
windows,242,1,3.0,1
windows,243,9,5.44444444444,4
windows,245,3,0.666666666667,1
windows,246,2,3.0,0
windows,255,4,2.0,0
windows,257,1,0.0,0
windows,259,5,0.6,2
windows,260,3,3.0,2
windows,264,0,0,2
windows,266,2,3.5,0
windows,267,20,4.15,51
windows,268,5,3.4,0
windows,269,3,-0.333333333333,0
windows,270,1,0.0,0
windows,271,1,0.0,2
windows,274,2,3.5,0
windows,275,3,4.0,3
windows,276,1,0.0,0
windows,524566,3,1.0,0
windows,786714,1,0.0,2
windows,287,8,2.125,3
windows,288,1,0.0,0
windows,291,1,4.0,0
windows,292,0,0,1
windows,293,1,1.0,0
windows,524583,1,-1.0,0
windows,300,17,1.05882352941,0
windows,302,1,13.0,0
windows,303,2,5.5,0
windows,304,20,3.55,18
windows,305,9,13.3333333333,7
windows,307,1,0.0,1
windows,308,1,2.0,0
windows,312,3,2.0,1
windows,314,1,2.0,0
windows,316,2,13.0,0
windows,317,1,2.0,0
windows,320,2,2.5,0
windows,324,3,1.0,0
windows,327,8,1.25,1
windows,786487,1,0.0,0
windows,332,3,4.0,4
windows,524621,1,2.0,0
windows,524623,2,1.0,0
windows,337,3,2.0,0
windows,338,14,3.71428571429,5
windows,339,0,0,1
windows,341,4,4.5,0
windows,342,22,0.863636363636,16
windows,343,5,3.6,3
windows,346,1,0.0,4
windows,356,3,0.333333333333,1
windows,360,1,28.0,0
windows,361,1,1.0,5
windows,363,3,5.33333333333,0
windows,364,3,1.0,3
windows,369,18,4.05555555556,18
windows,371,2,0.5,0
windows,372,4,8.0,2
windows,786805,1,2.0,0
windows,377,28,2.57142857143,12
windows,786495,0,0,1
windows,380,5,6.2,0
windows,524670,3,-0.666666666667,2
windows,383,5,1.8,0
windows,393280,2,2.0,2
windows,389,1,1.0,0
windows,390,1,0.0,0
windows,392,1,6.0,3
windows,394,29,5.51724137931,1
windows,396,0,0,3
windows,262541,2,1.0,0
windows,402,1,0.0,0
windows,404,1,1.0,2
windows,410,1,1.0,0
windows,411,1,7.0,1
windows,414,11,1.81818181818,2
windows,415,0,0,1
windows,417,1,1.0,0
windows,419,40,3.35,49
windows,70,1,2.0,0
windows,422,1,19.0,0
windows,423,1,2.0,0
windows,426,15,1.13333333333,1
windows,428,2,1.0,1
windows,429,4,2.0,2
windows,431,2,3.0,0
windows,432,2,1.0,1
windows,438,1,0.0,1
windows,262588,0,0,1
windows,445,2,1.5,0
windows,786507,1,1.0,0
windows,456,2,0.5,1
windows,457,1,14.0,0
windows,459,4,1.25,1
windows,786894,1,0.0,0
windows,463,2,1.5,0
windows,470,0,0,3
windows,472,0,0,3
windows,473,1,16.0,0
windows,262618,0,0,1
windows,475,1,0.0,0
windows,476,8,2.75,21
windows,479,4,1.5,4
windows,786914,1,0.0,0
windows,483,2,7.0,0
windows,489,1,0.0,0
windows,492,2,0.5,8
windows,493,4,3.5,0
windows,524784,0,0,1
windows,497,1,1.0,0
windows,501,3,3.0,0
windows,786935,1,3.0,0
windows,506,1,5.0,1
windows,507,1,7.0,1
windows,262653,0,0,1
windows,517,0,0,1
windows,1049096,1,0.0,0
windows,522,2,6.5,0
windows,525,2,1.5,1
windows,527,1,2.0,0
windows,786962,1,0.0,0
windows,1049108,0,0,1
windows,533,4,4.0,3
windows,534,4,2.25,0
windows,535,2,25.5,0
windows,536,6,1.83333333333,0
windows,1049121,1,0.0,0
windows,547,1,0.0,0
windows,548,1,0.0,0
windows,549,2,2.0,0
windows,1049127,1,1.0,0
windows,1573422,2,9.0,1
windows,560,1,2.0,0
windows,563,1,2.0,0
windows,567,1,1.0,0
windows,1835577,1,1.0,0
windows,571,0,0,3
windows,572,12,3.16666666667,21
windows,573,1,1.0,1
windows,578,1,1.0,1
windows,580,2,1.5,0
windows,582,1,0.0,1
windows,262727,1,2.0,0
windows,584,1,0.0,2
windows,588,1,1.0,1
windows,592,41,1.58536585366,13
windows,598,2,14.0,0
windows,262748,2,8.0,0
windows,607,1,1.0,0
windows,609,1,3.0,0
windows,611,18,4.66666666667,14
windows,614,1,1.0,0
windows,615,6,12.5,4
windows,617,1,1.0,0
windows,619,2,1.0,0
windows,624,1,1.0,0
windows,626,1,0.0,0
windows,631,2,-0.5,0
windows,632,1,1.0,0
windows,634,0,0,1
windows,635,3,7.0,0
windows,636,13,2.46153846154,9
windows,637,3,3.0,0
windows,787076,2,1.0,0
windows,645,32,1.9375,11
windows,650,2,1.5,0
windows,655,1,0.0,0
windows,657,0,0,1
windows,658,3,2.33333333333,0
